id,district,block,phc
669,MORIGAON,Bhurbandha,BAIDYABORI SHC
670,MORIGAON,Bhurbandha,Jaluguti SD
671,MORIGAON,Bhurbandha,Udari SD
672,MORIGAON,Bhurbandha,Monipurtup New PHC
673,MORIGAON,Bhurbandha,Simoluguri SD
674,MORIGAON,Laharighat,Sialmari SD
675,MORIGAON,Laharighat,Bhuragaon SHC
676,MORIGAON,Laharighat,Niz-Gerua SD
677,MORIGAON,Laharighat,Baralimari SD
678,MORIGAON,Laharighat,Nagabandha New PHC
679,MORIGAON,Laharighat,Jengpori Char PHC
680,MORIGAON,Laharighat,Kathani Char PHC
681,MORIGAON,Laharighat,Ulubari Char PHC
682,MORIGAON,Laharighat,Kushtoli New PHC
683,NAGAON,BURAGOHAITHAN,Buragohainthan 
684,NAGAON,BURAGOHAITHAN,Sillongoni
685,NAGAON,BURAGOHAITHAN,Hatichung
686,NAGAON,BURAGOHAITHAN,Pub Haichung
687,NAGAON,BURAGOHAITHAN,Jajori
688,NAGAON,BURAGOHAITHAN,Aibheti
689,NAGAON,BURAGOHAITHAN,Deodhar
690,NAGAON,BURAGOHAITHAN,Borjoha
691,NAGAON,BURAGOHAITHAN,Borkola
692,NAGAON,BURAGOHAITHAN,Rangalumukh
693,NAGAON,Jakhalabandha,jakhalabandha CHC
694,NAGAON,Jakhalabandha,Naltali MPHC
695,NAGAON,Jakhalabandha,Silghat MPHC
696,NAGAON,Jakhalabandha,Bamuni MPHC
697,NAGAON,Jakhalabandha,Kuthori MPHC
698,NAGAON,Jugijan,Jugijan PHC
699,NAGAON,Jugijan,Nilbagan MPHC
700,NAGAON,Jugijan,Dighaljar SD
701,NAGAON,LANKA BPHC/LANKA PHC,LANKA PHC
702,NAGAON,LANKA BPHC/KAKI MPHC,KAKI MPHC
703,NAGAON,LANKA BPHC/FULTOLI MPHC,FULTOLI MPHC
704,NAGAON,LANKA BPHC/KAPASHBARI SD,KAPASHBARI SD
705,NAGAON,LANKA BPHC/DERAPATHER SD,DERAPATHER SD
